"","_0","_1","_2","_3","_4","_5","_6","_7","_8","_9","_A","_B","_C","_D","_E","_F"
"0_","NOP","AJMP 0xx","LJMP addr16","RR A","INC A","INC dir","INC @R0","INC @R1","INC R0","INC R1","INC R2","INC R3","INC R4","INC R5","INC R6","INC R7"
"1_","JBC bit,rela","ACALL 0xx","LCALL addr16","RRC A","DEC A","DEC dir","DEC @R0","DEC @R1","DEC R0","DEC R1","DEC R2","DEC R3","DEC R4","DEC R5","DEC R6","DEC R7"
"2_","JB bit,rela","AJMP 1xx","RET","RL A","ADD A,#imm8","ADD A,dir","ADD A,@R0","ADD A,@R1","ADD A,R0","ADD A,R1","ADD A,R2","ADD A,R3","ADD A,R4","ADD A,R5","ADD A,R6","ADD A,R7"
"3_","JNB bit,rela","ACALL 1xx","RETI","RLC A","ADDC A,#imm8","ADDC A,dir","ADDC A,@R0","ADDC A,@R1","ADDC A,R0","ADDC A,R1","ADDC A,R2","ADDC A,R3","ADDC A,R4","ADDC A,R5","ADDC A,R6","ADDC A,R7"
"4_","JC rela","AJMP 2xx","ORL A,dir","ORL dir,#imm8","ORL A,#imm8","ORL A,dir","ORL A,@R0","ORL A,@R1","ORL A,R0","ORL A,R1","ORL A,R2","ORL A,R3","ORL A,R4","ORL A,R5","ORL A,R6","ORL A,R7"
"5_","JNC rela","ACALL 2xx","ANL dir,A","ANL dir,#imm8","ANL A,#imm8","ANL A,dir","ANL A,@R0","ANL A,@R1","ANL A,R0","ANL A,R1","ANL A,R2","ANL A,R3","ANL A,R4","ANL A,R5","ANL A,R6","ANL A,R7"
"6_","JZ rela","AJMP 3xx","XRL dir,A","XRL dir,#imm8","XRL A,#imm8","XRL A,dir","XRL A,@R0","XRL A,@R1","XRL A,R0","XRL A,R1","XRL A,R2","XRL A,R3","XRL A,R4","XRL A,R5","XRL A,R6","XRL A,R7"
"7_","JNZ rela","ACALL 3xx","ORL C,bit","JMP @A+DPTR","MOV A,#imm8","MOV dir,#imm8","MOV @R0,#imm8","MOV @R1,#imm8","MOV R0,#imm8","MOV R1,#imm8","MOV R2,#imm8","MOV R3,#imm8","MOV R4,#imm8","MOV R5,#imm8","MOV R6,#imm8","MOV R7,#imm8"
"8_","SJMP rela","AJMP 4xx","ANL C,bit","MOVC A,@A+PC","DIV AB","MOV dir,dir","MOV @R0,dir","MOV @R1,dir","MOV dir,R0","MOV dir,R1","MOV dir,R2","MOV dir,R3","MOV dir,R4","MOV dir,R5","MOV dir,R6","MOV dir,R7"
"9_","MOV DPTR,#imm16","ACALL 4xx","MOV bit,C","MOVC A,@A+DPTR","SUBB A,#imm8","SUBB A,dir","SUBB A,@R0","SUBB A,@R1","SUBB A,R0","SUBB A,R1","SUBB A,R2","SUBB A,R3","SUBB A,R4","SUBB A,R5","SUBB A,R6","SUBB A,R7"
"A_","ORL C,/bit","AJMP 5xx","MOV C,bit","INC DPTR","MUL AB","_A5_","MOV @R0,dir","MOV @R1,dir","MOV R0,dir","MOV R1,dir","MOV R2,dir","MOV R3,dir","MOV R4,dir","MOV R5,dir","MOV R6,dir","MOV R7,dir"
"B_","ANL C,/bit","ACALL 5xx","CPL bit","CPL C","CJNE A,#imm8,rela","CJNE A,dir,rela","CJNE @R0,#imm8,rela","CJNE @R1,#imm8,rela","CJNE R0,#imm8,rela","CJNE R1,#imm8,rela","CJNE R2,#imm8,rela","CJNE R3,#imm8,rela","CJNE R4,#imm8,rela","CJNE R5,#imm8,rela","CJNE R6,#imm8,rela","CJNE R7,#imm8,rela"
"C_","PUSH dir","AJMP 6xx","CLR bit","CLR C","SWAP A","XCH A,dir","XCH A,@R0","XCH A,@R1","XCH A,R0","XCH A,R1","XCH A,R2","XCH A,R3","XCH A,R4","XCH A,R5","XCH A,R6","XCH A,R7"
"D_","POP dir","ACALL 6xx","SETB bit","SETB C","DA A","DJNZ dir,rela","XCHD A,@R0","XCHD A,@R1","DJNZ R0,rela","DJNZ R1,rela","DJNZ R2,rela","DJNZ R3,rela","DJNZ R4,rela","DJNZ R5,rela","DJNZ R6,rela","DJNZ R7,rela"
"E_","MOVX A,@DPTR","AJMP 7xx","MOVX A,@R0","MOVX A,@R1","CLR A","MOV A,dir","MOV A,@R0","MOV A,@R1","MOV A,R0","MOV A,R1","MOV A,R2","MOV A,R3","MOV A,R4","MOV A,R5","MOV A,R6","MOV A,R7"
"F_","MOVX @DPTR,A","ACALL 7xx","MOVX @R0,A","MOVX @R1,A","CPL A","MOV dir,A","MOV @R0,A","MOV @R1,A","MOV R0,A","MOV R1,A","MOV R2,A","MOV R3,A","MOV R4,A","MOV R5,A","MOV R6,A","MOV R7,A"
